Logged started on,12/04/2024 10:49:13
Feature,Accelerometer
Nodes,BM2V220 @312948

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
12/04/2024 10:49:54.279,41207,BM2V220 @312948,48840,D30172032401,467,882,292
12/04/2024 10:49:54.332,41249,BM2V220 @312948,48846,8D0168030B01,397,872,267
12/04/2024 10:49:54.384,41302,BM2V220 @312948,48852,8201E4031A01,386,996,282
12/04/2024 10:49:54.437,41354,BM2V220 @312948,48859,2301E6031B01,291,998,283
12/04/2024 10:49:54.489,41407,BM2V220 @312948,48865,2501E2039B00,293,994,155
12/04/2024 10:49:54.517,41435,BM2V220 @312948,48871,9F00E5033001,159,997,304
12/04/2024 10:49:54.568,41486,BM2V220 @312948,48877,AB00A3032A01,171,931,298
12/04/2024 10:49:54.620,41538,BM2V220 @312948,48884,1400D4037301,20,980,371
12/04/2024 10:49:54.673,41590,BM2V220 @312948,48890,1900C8036A00,25,968,106
12/04/2024 10:49:54.726,41643,BM2V220 @312948,48896,F3FFA103EC00,-13,929,236
12/04/2024 10:49:54.778,41696,BM2V220 @312948,48902,B4FF1C047A00,-76,1052,122
12/04/2024 10:49:54.831,41748,BM2V220 @312948,48909,8CFF7804FF00,-116,1144,255
12/04/2024 10:49:54.883,41801,BM2V220 @312948,48915,5DFFF8038C00,-163,1016,140
12/04/2024 10:49:54.935,41853,BM2V220 @312948,48921,7BFF98039000,-133,920,144
12/04/2024 10:49:54.988,41906,BM2V220 @312948,48927,C0FF16044B00,-64,1046,75
12/04/2024 10:49:55.066,41984,BM2V220 @312948,48934,97FF30046D00,-105,1072,109
12/04/2024 10:49:55.070,41987,BM2V220 @312948,48940,83FFDA033E00,-125,986,62
12/04/2024 10:49:55.120,42037,BM2V220 @312948,48946,92FFE7035100,-110,999,81
12/04/2024 10:49:55.172,42089,BM2V220 @312948,48952,98FFD1031C00,-104,977,28
12/04/2024 10:49:55.224,42142,BM2V220 @312948,48959,9EFF9A037A00,-98,922,122
12/04/2024 10:49:55.277,42194,BM2V220 @312948,48965,59FF4903E900,-167,841,233
12/04/2024 10:49:55.331,42249,BM2V220 @312948,48971,70FF55047C00,-144,1109,124
12/04/2024 10:49:55.382,42299,BM2V220 @312948,48977,6AFFCB033200,-150,971,50
12/04/2024 10:49:55.435,42353,BM2V220 @312948,48984,7CFF9D03AA00,-132,925,170
12/04/2024 10:49:55.487,42404,BM2V220 @312948,48990,6FFF5F041D00,-145,1119,29
12/04/2024 10:49:55.539,42457,BM2V220 @312948,48996,53FF53038D00,-173,851,141
12/04/2024 10:49:55.568,42485,BM2V220 @312948,49002,5CFF9403BC00,-164,916,188
12/04/2024 10:49:55.619,42536,BM2V220 @312948,49009,67FFD403A700,-153,980,167
12/04/2024 10:49:55.671,42588,BM2V220 @312948,49015,66FF5B03FC00,-154,859,252
12/04/2024 10:49:55.723,42641,BM2V220 @312948,49021,55FF9B03D000,-171,923,208
12/04/2024 10:49:55.775,42693,BM2V220 @312948,49027,7AFF65030601,-134,869,262
12/04/2024 10:49:55.828,42746,BM2V220 @312948,49034,C4FFCE036B01,-60,974,363
12/04/2024 10:49:55.880,42798,BM2V220 @312948,49040,79FF4F034C01,-135,847,332
12/04/2024 10:49:55.933,42850,BM2V220 @312948,49046,91FF03034801,-111,771,328
12/04/2024 10:49:55.986,42904,BM2V220 @312948,49052,9BFF3E03EF00,-101,830,239
12/04/2024 10:49:56.038,42956,BM2V220 @312948,49059,74FF4C036701,-140,844,359
12/04/2024 10:49:56.091,43008,BM2V220 @312948,49065,8EFFEE03EC00,-114,1006,236
12/04/2024 10:49:56.118,43036,BM2V220 @312948,49071,84FFFA032401,-124,1018,292
12/04/2024 10:49:56.170,43088,BM2V220 @312948,49077,71FF1304B900,-143,1043,185
12/04/2024 10:49:56.222,43140,BM2V220 @312948,49084,76FF5D033801,-138,861,312
12/04/2024 10:49:56.274,43192,BM2V220 @312948,49090,80FF35042A01,-128,1077,298
12/04/2024 10:49:56.326,43244,BM2V220 @312948,49096,7EFF81038401,-130,897,388
12/04/2024 10:49:56.381,43299,BM2V220 @312948,49102,67FF0303AE01,-153,771,430
12/04/2024 10:49:56.431,43348,BM2V220 @312948,49109,44FF77039901,-188,887,409
12/04/2024 10:49:56.484,43402,BM2V220 @312948,49115,51FF7E03C301,-175,894,451
12/04/2024 10:49:56.537,43454,BM2V220 @312948,49121,41FF3903C201,-191,825,450
